SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,67,600,390,399
SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,68,600,388,395
SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,69,600,368,368
SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,70,600,421,414
SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,71,513,336,335
SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,72,500,331,337
SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,73,500,337,341
SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,74,500,339,344
SAN JOSE,CENTRAL,CATEDRAL,101004021 GONZALEZ VIQUEZ,75,500,319,342
SAN JOSE,CENTRAL,CATEDRAL,101004022 NACIONES UNIDAS,76,618,435,438
SAN JOSE,CENTRAL,CATEDRAL,101004022 NACIONES UNIDAS,77,618,450,426
SAN JOSE,CENTRAL,CATEDRAL,101004022 NACIONES UNIDAS,78,618,436,438
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,79,600,433,419
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,80,600,405,400
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,81,600,435,441
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,82,600,405,419
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,83,582,413,403
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,84,550,373,383
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,85,550,368,371
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,86,550,396,397
SAN JOSE,CENTRAL,CATEDRAL,101004023 BARRIO LUJAN,87,550,359,370
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,88,600,462,455
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,89,600,441,430
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,90,600,427,430
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,91,600,430,436
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,92,600,429,443
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,93,600,434,443
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,94,600,423,406
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,95,600,414,407
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,96,600,424,425
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,97,600,435,432
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,98,600,421,417
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,99,600,448,432
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,100,600,424,437
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,101,600,435,433
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,102,600,423,415
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,103,600,421,412
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,104,600,427,443
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,105,525,386,365
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,106,525,385,372
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,107,500,362,381
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,108,500,351,369
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,109,500,360,357
SAN JOSE,CENTRAL,ZAPOTE,101005002 ZAPOTE,110,500,345,342
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,111,600,459,477
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,112,600,450,449
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,113,600,474,466
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,114,600,433,456
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,115,550,408,424
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,116,550,402,403
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,117,500,370,379
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,118,500,372,367
SAN JOSE,CENTRAL,ZAPOTE,101005032 CORDOBA,119,501,349,357
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,120,600,447,466
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,121,600,460,455
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,122,600,446,452
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,123,600,449,449
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,124,600,442,446
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,125,600,402,406
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,126,600,463,454
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,127,600,432,436
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,128,600,439,465
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,129,600,448,462
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,130,600,438,447
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,131,600,464,461
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,132,600,453,450
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,133,600,450,444
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,134,600,447,440
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,135,534,403,392
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,136,500,361,361
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,137,500,374,366
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,138,500,375,376
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006003 SAN FRANCISCO DE DOS RIOS,139,500,369,379
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,140,600,470,469
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,141,600,455,458
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,142,600,441,444
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,143,600,441,443
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,144,600,429,450
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,145,600,433,433
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,146,600,427,437
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,147,600,437,437
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,148,532,402,412
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,149,500,373,370
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,150,500,378,373
SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,101006033 SANTA MARTA,151,500,359,360
SAN JOSE,CENTRAL,URUCA,101007004 URUCA,152,600,379,389
SAN JOSE,CENTRAL,URUCA,101007004 URUCA,153,600,383,389
SAN JOSE,CENTRAL,URUCA,101007004 URUCA,154,600,381,398
